"drop_id","lat","lon","depth","n_label","n_sg","n_ma","n_sa","n_other","top","top_n","top2","top2_n","sg_pct","ma_pct","sa_pct","sg_pa","ma_pa","sa_pa","top_pct","top2_pct","dom_spp"
"FI_119",-40.298869,148.283811,2.920000076,78,7,71,0,0,"Caulerpa cactoides",63,"Zostera spp",5,0.0897435897435897,0.91025641025641,0,1,1,0,0.807692307692308,0.0641025641025641,0
"FI_12",-40.52811,148.256264,13.27999973,74,39,1,33,1,"Zostera spp",22,"Posidonia australis",17,0.527027027027027,0.0135135135135135,0.445945945945946,1,0,1,0.297297297297297,0.22972972972973,3
"FI_122",-40.495496,148.163519,4.929999828,79,53,0,26,0,"Posidonia australis",40,"Zostera spp",9,0.670886075949367,0,0.329113924050633,1,0,1,0.506329113924051,0.113924050632911,1
"FI_124",-40.24072,147.886342,31.88999939,79,0,0,79,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_125",-40.361363,148.47002,26.38999939,73,0,0,73,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_127",-40.359419,148.404298,7.880000114,55,15,0,40,0,"Zostera spp",15,"",0,0.272727272727273,0,0.727272727272727,1,0,1,0.272727272727273,0,3
"FI_129",-40.185035,147.951904,22.76000023,86,42,3,40,1,"Posidonia australis",39,"Caulerpa cactoides",3,0.488372093023256,0.0348837209302326,0.465116279069767,1,0,1,0.453488372093023,0.0348837209302326,1
"FI_13",-40.286444,148.343939,4.670000076,76,7,1,68,0,"Posidonia australis",7,"Foliose",1,0.0921052631578947,0.0131578947368421,0.894736842105263,1,0,1,0.0921052631578947,0.0131578947368421,1
"FI_130",-40.332446,148.099281,15.47000027,82,8,0,74,0,"Posidonia australis",8,"",0,0.0975609756097561,0,0.902439024390244,1,0,1,0.0975609756097561,0,1
"FI_133",-40.287692,148.383884,3.430000067,64,1,0,63,0,"Posidonia australis",1,"",0,0.015625,0,0.984375,0,0,1,0.015625,0,1
"FI_137",-40.377301,148.482242,23.82999992,76,0,0,76,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_139",-40.48472,148.438957,29.39999962,84,0,23,46,15,"Bryozoa / Cnidaria / Sponge Matrix",10,"Foliose",10,0,0.273809523809524,0.547619047619048,0,1,1,0.119047619047619,0.119047619047619,0
"FI_14",-40.268726,148.460521,29.43000031,47,0,0,47,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_140",-40.565122,148.263382,26.78000069,63,0,0,63,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_141",-40.586002,148.329041,10,58,0,0,58,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_144",-40.291039,148.246583,13.72000027,49,10,11,28,0,"Foliose",11,"Posidonia australis",9,0.204081632653061,0.224489795918367,0.571428571428571,1,1,1,0.224489795918367,0.183673469387755,0
"FI_146",-40.232735,147.925944,31.54999924,82,1,1,61,19,"Bryozoa / Cnidaria / Sponge Matrix",8,"Encrusting Papillate Black Thick",4,0.0121951219512195,0.0121951219512195,0.74390243902439,0,0,1,0.0975609756097561,0.048780487804878,0
"FI_147",-40.500959,148.028006,14.61999989,48,0,0,48,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_148",-40.541179,148.290806,25.37999916,56,5,35,12,4,"Foliose",24,"Ecklonia radiata",11,0.0892857142857143,0.625,0.214285714285714,1,1,1,0.428571428571429,0.196428571428571,0
"FI_149",-40.299816,148.312627,-0.029999999,75,75,0,0,0,"Posidonia australis",75,"",0,1,0,0,1,0,0,1,0,1
"FI_150",-40.249628,148.427433,12.15999985,71,0,0,71,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_152",-40.22903,148.385385,15.17000008,72,2,46,24,0,"Foliose",40,"Ecklonia radiata",4,0.0277777777777778,0.638888888888889,0.333333333333333,0,1,1,0.555555555555556,0.0555555555555556,0
"FI_153",-40.053869,147.871547,12.30000019,77,76,0,0,1,"Posidonia australis",76,"Grey Smooth Tube",1,0.987012987012987,0,0,1,0,0,0.987012987012987,0.012987012987013,1
"FI_155",-40.5174,148.236066,3.00999999,80,19,3,58,0,"Amphibolis antarctica",16,"Cystophora spp",3,0.2375,0.0375,0.725,1,0,1,0.2,0.0375,2
"FI_157",-40.262619,148.02439,12.57999992,99,99,0,0,0,"Amphibolis antarctica",99,"",0,1,0,0,1,0,0,1,0,2
"FI_158",-40.463642,148.170373,14.85000038,67,0,0,67,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_16",-40.295497,148.130371,-0.439999998,94,92,2,0,0,"Posidonia australis",92,"Red",2,0.978723404255319,0.0212765957446809,0,1,0,0,0.978723404255319,0.0212765957446809,1
"FI_160",-40.208972,147.893109,33.36999893,85,0,15,19,51,"Coquina / shellhash",39,"Foliose",15,0,0.176470588235294,0.223529411764706,0,1,1,0.458823529411765,0.176470588235294,0
"FI_161",-40.329661,148.477006,25.51000023,68,0,0,68,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_162",-40.553183,148.216802,14.03999996,76,0,0,76,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_163",-40.526297,148.370166,30.75,57,0,0,0,57,"Bryozoa / Cnidaria / Sponge Matrix",47,"Coquina / shellhash",10,0,0,0,0,0,0,0.824561403508772,0.175438596491228,0
"FI_164",-40.267022,148.224052,14.53999996,68,10,47,11,0,"Foliose",38,"Posidonia australis",10,0.147058823529412,0.691176470588235,0.161764705882353,1,1,1,0.558823529411765,0.147058823529412,0
"FI_168",-40.293856,148.424758,21.54999924,59,0,0,59,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_169",-40.481486,148.249754,1.840000033,75,75,0,0,0,"Posidonia australis",75,"",0,1,0,0,1,0,0,1,0,1
"FI_17",-40.040787,147.853264,11.78999996,76,76,0,0,0,"Posidonia australis",76,"",0,1,0,0,1,0,0,1,0,1
"FI_171",-40.279749,147.972529,13.68999958,81,81,0,0,0,"Posidonia australis",81,"",0,1,0,0,1,0,0,1,0,1
"FI_172",-40.509467,148.316469,4.420000076,65,2,0,63,0,"Posidonia australis",2,"",0,0.0307692307692308,0,0.969230769230769,0,0,1,0.0307692307692308,0,1
"FI_173",-40.453993,148.446813,17.69000053,58,0,0,58,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_175",-40.315596,148.01442,12.15999985,90,87,3,0,0,"Amphibolis antarctica",68,"Posidonia australis",19,0.966666666666667,0.0333333333333333,0,1,0,0,0.755555555555556,0.211111111111111,2
"FI_176",-40.463069,148.277119,10.84000015,75,6,0,69,0,"Posidonia australis",6,"",0,0.08,0,0.92,1,0,1,0.08,0,1
"FI_177",-40.543536,148.320886,28.84000015,69,0,13,2,54,"Coquina / shellhash",25,"Bryozoa / Cnidaria / Sponge Matrix",14,0,0.188405797101449,0.0289855072463768,0,1,0,0.36231884057971,0.202898550724638,0
"FI_178",-40.302094,148.145509,8.5,86,83,0,3,0,"Zostera spp",73,"Amphibolis antarctica",10,0.965116279069767,0,0.0348837209302326,1,0,0,0.848837209302326,0.116279069767442,3
"FI_180",-40.208205,147.999792,19.05999947,87,0,0,87,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_181",-40.328966,148.408361,18.79999924,79,22,0,57,0,"Zostera spp",22,"",0,0.278481012658228,0,0.721518987341772,1,0,1,0.278481012658228,0,3
"FI_184",-40.190299,147.934193,22.95999908,81,15,17,49,0,"Foliose",17,"Posidonia australis",15,0.185185185185185,0.209876543209877,0.604938271604938,1,1,1,0.209876543209877,0.185185185185185,0
"FI_185",-40.257066,148.32878,1.850000024,77,1,0,76,0,"Posidonia australis",1,"",0,0.012987012987013,0,0.987012987012987,0,0,1,0.012987012987013,0,1
"FI_186",-40.498782,148.211314,4.590000153,77,2,47,28,0,"Caulerpa cactoides",42,"Foliose",4,0.025974025974026,0.61038961038961,0.363636363636364,0,1,1,0.545454545454545,0.051948051948052,0
"FI_189",-40.418372,148.473888,16.43000031,75,17,0,58,0,"Zostera spp",14,"Posidonia australis",3,0.226666666666667,0,0.773333333333333,1,0,1,0.186666666666667,0.04,3
"FI_191",-40.445118,148.134817,0.74000001,89,86,3,0,0,"Posidonia australis",62,"Zostera spp",24,0.966292134831461,0.0337078651685393,0,1,0,0,0.696629213483146,0.269662921348315,1
"FI_194",-40.493077,148.112461,12.06999969,50,5,0,45,0,"Posidonia australis",5,"",0,0.1,0,0.9,1,0,1,0.1,0,1
"FI_195",-40.291638,147.981545,13.17000008,81,9,69,0,3,"Foliose",56,"Caulerpa cactoides",13,0.111111111111111,0.851851851851852,0,1,1,0,0.691358024691358,0.160493827160494,0
"FI_196",-40.39428,148.506751,24.19000053,89,0,0,89,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_197",-40.474961,148.244334,3.50999999,64,4,0,60,0,"Posidonia australis",4,"",0,0.0625,0,0.9375,1,0,1,0.0625,0,1
"FI_198",-40.582277,148.245009,29.39999962,80,0,0,80,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_199",-40.220108,148.011439,17.98999977,77,0,29,9,39,"Bryozoa / Cnidaria / Sponge Matrix",33,"Encrusting/Turfing Algal Matrix",24,0,0.376623376623377,0.116883116883117,0,1,1,0.428571428571429,0.311688311688312,0
"FI_2",-40.444463,148.201504,3.829999924,76,48,8,20,0,"Posidonia australis",39,"Halophila spp",9,0.631578947368421,0.105263157894737,0.263157894736842,1,1,1,0.513157894736842,0.118421052631579,1
"FI_201",-40.316313,148.259169,1.399999976,76,75,1,0,0,"Posidonia australis",39,"Zostera spp",36,0.986842105263158,0.0131578947368421,0,1,0,0,0.513157894736842,0.473684210526316,1
"FI_202",-40.321914,148.262145,2.609999895,90,72,18,0,0,"Posidonia australis",72,"Red",18,0.8,0.2,0,1,1,0,0.8,0.2,1
"FI_203",-40.327857,148.265137,0.280000001,90,86,4,0,0,"Posidonia australis",86,"Scaberia agardhii",4,0.955555555555556,0.0444444444444444,0,1,0,0,0.955555555555556,0.0444444444444444,1
"FI_204",-40.331063,148.268245,-0.389999986,16,12,1,3,0,"Amphibolis antarctica",11,"Posidonia australis",1,0.75,0.0625,0.1875,1,1,1,0.6875,0.0625,2
"FI_205",-40.328895,148.132427,4.820000172,84,0,0,84,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_206",-40.321338,148.149067,-0.239999995,76,11,0,65,0,"Posidonia australis",11,"",0,0.144736842105263,0,0.855263157894737,1,0,1,0.144736842105263,0,1
"FI_207",-40.318051,148.155088,-0.189999998,73,5,0,68,0,"Posidonia australis",5,"",0,0.0684931506849315,0,0.931506849315068,1,0,1,0.0684931506849315,0,1
"FI_208",-40.310973,148.166939,2.74000001,84,50,0,34,0,"Posidonia australis",50,"",0,0.595238095238095,0,0.404761904761905,1,0,1,0.595238095238095,0,1
"FI_209",-40.308718,148.172221,1.379999995,76,4,0,72,0,"Posidonia australis",4,"",0,0.0526315789473684,0,0.947368421052632,1,0,1,0.0526315789473684,0,1
"FI_21",-40.289606,148.239576,11.28999996,57,7,46,3,1,"Brown",15,"Foliose",10,0.12280701754386,0.807017543859649,0.0526315789473684,1,1,1,0.263157894736842,0.175438596491228,0
"FI_210",-40.305688,148.177496,0.829999983,66,0,0,66,0,"",0,"",0,0,0,1,0,0,1,0,0,0
"FI_22",-40.271617,148.181494,14.28999996,65,26,11,28,0,"Posidonia australis",26,"Foliose",11,0.4,0.169230769230769,0.430769230769231,1,1,1,0.4,0.169230769230769,1
"FI_23",-40.35233,148.425642,19.67000008,86,1,7,78,0,"Foliose",6,"Ecklonia radiata",1,0.0116279069767442,0.0813953488372093,0.906976744186046,0,1,1,0.0697674418604651,0.0116279069767442,0
"FI_239",-40.053275,147.849742,11.10000038,71,71,0,0,0,"Posidonia australis",71,"",0,1,0,0,1,0,0,1,0,1
"FI_24",-40.486263,148.119284,7.409999847,72,63,0,9,0,"Amphibolis antarctica",63,"",0,0.875,0,0.125,1,0,1,0.875,0,2
"FI_240",-40.055656,147.887566,10.30000019,89,89,0,0,0,"Posidonia australis",89,"",0,1,0,0,1,0,0,1,0,1
"FI_241",-40.047267,147.875759,10.38000011,70,70,0,0,0,"Posidonia australis",70,"",0,1,0,0,1,0,0,1,0,1
"FI_242",-40.038926,147.908186,4.539999962,92,92,0,0,0,"Posidonia australis",92,"",0,1,0,0,1,0,0,1,0,1
"FI_243",-40.041904,147.93374,1.129999995,98,97,1,0,0,"Amphibolis antarctica",97,"Red",1,0.989795918367347,0.0102040816326531,0,1,0,0,0.989795918367347,0.0102040816326531,2
"FI_244",-40.065993,147.944565,0.790000021,69,69,0,0,0,"Amphibolis antarctica",69,"",0,1,0,0,1,0,0,1,0,2
"FI_248",-40.211367,147.95011,28.5,70,1,45,15,9,"Foliose",39,"Encrusting/Turfing Algal Matrix",6,0.0142857142857143,0.642857142857143,0.214285714285714,0,1,1,0.557142857142857,0.0857142857142857,0
"FI_249",-40.216356,147.979785,24.35000038,90,0,86,2,2,"Foliose",85,"Arborescent Orange",1,0,0.955555555555556,0.0222222222222222,0,1,0,0.944444444444444,0.0111111111111111,0
